FMID,MarketName,Website,Facebook,Twitter,Youtube,OtherMedia,street,city,County,State,zip,Season1Date,Season1Time,Season2Date,Season2Time,Season3Date,Season3Time,Season4Date,Season4Time,x,y,Location,Credit,WIC,WICcash,SFMNP,SNAP,Organic,Bakedgoods,Cheese,Crafts,Flowers,Eggs,Seafood,Herbs,Vegetables,Honey,Jams,Maple,Meat,Nursery,Nuts,Plants,Poultry,Prepared,Soap,Trees,Wine,Coffee,Beans,Fruits,Grains,Juices,Mushrooms,PetFood,Tofu,WildHarvested,updateTime
1001738,Aquidneck Growers' Markets,http://www.aquidneckgrowersmarket.org,https://www.facebook.com/pages/Aquidneck-Growers-Market/145175198849594?ref=hl,,,,909 East Main Road,Middletown,Newport,Rhode Island,02840,01/01/2015 to 12/31/2015,Sat: 9:00 AM-1:00 PM;,,,,,,,-71.271936,41.529191,,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,N,N,Y,Y,Y,Y,N,N,Y,N,Y,N,Y,Y,N,N,Y,3/27/2015 8:28:37 AM
1010986,Aquidneck Growers' Markets in Newport,http://www.aquidneckgrowersmarket.org,https://www.facebook.com/pages/Aquidneck-Growers-Market/145175198849594?ref=hl,,,,Memorial Boulevard and Edgar Street,Newport,Newport,Rhode Island,02840,05/20/2015 to 10/28/2015,Wed: 2:00 PM-6:00 PM;,,,,,,,-71.3048066,41.4833807,,Y,Y,N,Y,Y,Y,Y,Y,N,Y,Y,N,Y,Y,N,Y,N,Y,N,N,Y,Y,Y,Y,N,N,Y,N,Y,N,Y,Y,N,N,N,3/27/2015 8:37:37 AM
1012822,Armory Farmers Market,http://www.farmfresh.org/food/farmersmarkets_details.php?market=17,,,,,Parade Street,Providence ,Providence,Rhode Island,02909,05/25/2017 to 10/26/2017,Thu: 3:30 AM-7:00 PM;,,,,,,,-71.431725,41.814292,,Y,Y,Y,Y,Y,-,Y,Y,N,N,Y,N,Y,Y,Y,Y,N,N,N,N,N,N,Y,N,N,N,Y,Y,Y,Y,Y,N,N,N,N,5/1/2017 10:45:21 AM
1000964,Block Island Farmers Market,http://blockislandfarmersmarket.com/,,,,,26 West Side Rd - Legion Park,Block Island,Washington,Rhode Island,02807,06/04/2016 to 10/15/2016,Sat: 9:00 AM-11:30 AM;,06/01/2016 to 10/12/2016,Wed: 9:00 AM-11:30 PM;,,,,,-71.579351,41.179863,,Y,N,N,N,N,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11/29/2016 11:50:55 AM
1012818,Brown University Farmers Market,http://www.farmfresh.org/food/farmersmarkets_details.php?market=5,,,,,201 Thayer Street,Providence ,Providence,Rhode Island,02912,09/06/2017 to 10/25/2017,Wed: 11:00 AM-2:00 PM;,,,,,,,-71.400122,41.826784,,Y,Y,Y,Y,Y,-,Y,N,N,N,N,N,Y,Y,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N,Y,N,Y,N,N,N,N,5/1/2017 10:43:48 AM
1004281,Burrillville Farmers Market,http://www.burrillvillefarmersmarket.org.,https://www.facebook.com/pages/Burrillville-Farmers-Market/65478021959,,,,75 Tinkham Lane,Harrisville,Providence,Rhode Island,02830,05/17/2014 to 10/18/2014,Sat: 9:30 AM-12:30 PM;,,,,,,,-71.6746257,41.9647617,Local government building grounds,Y,Y,Y,Y,Y,-,Y,N,Y,Y,Y,N,Y,Y,Y,Y,N,N,N,N,Y,Y,Y,Y,N,N,N,N,Y,N,N,N,N,N,N,4/22/2014 9:25:48 PM
1002033,Captiol Hill Farmers Market,http://www.rigrown.ri.gov,,,,,3 Capitol Hill,Providence,Providence,Rhode Island,02908,07/07/2016 to 10/27/2016,Thu: 11:00 AM-2:00 PM;,,,,,,,-71.4146087,41.8334561,,Y,Y,Y,N,N,-,Y,N,Y,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,12/9/2016 12:25:16 PM
1012825,Central Falls Farmers Market,http://www.farmfresh.org/food/farmersmarkets_details.php?market=607,,,,,129 Garfield Street,Central Falls ,Providence,Rhode Island,02863,07/05/2017 to 10/25/2017,Tue: 2:00 PM-5:30 PM;,,,,,,,-71.395371,41.886107,,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,5/1/2017 10:42:18 AM
1018015,Charlestown Land Trust Farmers' Market,http://www.charlestownlandtrust.org,http://facebook.com/charlestownfarmersmarket ,,,https://charlestownfarmersmarket.wordpress.com/page/3/,4150 Old Post Rd. (Route 1A),Charlestown,Washington,Rhode Island,02813,06/23/2017 to 09/01/2017,Fri: 9:30 AM-1:00 PM;,,,,,,,-71.6300890,41.3848840,,Y,Y,Y,N,Y,-,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,N,N,Y,Y,Y,Y,Y,N,Y,N,Y,N,Y,N,N,N,N,5/24/2017 10:22:20 AM
1001740,Coastal Growers Farmers Market,http://www.coastalmarket.org,https://www.facebook.com/CoastalGrowers,,,,"Lafayette Mill, 650 Ten Rod Road",North Kingstown,Washington,Rhode Island,02852,11/05/2016 to 04/29/2017,Sat: 9:00 AM-12:00 PM;,,,,,,,-71.485383,41.572866,,Y,N,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,Y,N,N,Y,N,Y,N,Y,Y,N,N,Y,11/29/2016 12:09:10 PM
